skill_python,skill_javascript,skill_react,skill_nodejs,skill_mongodb,skill_design,skill_testing,skill_devops,skill_ml,skill_java,role_PM,role_Developer,role_Designer,role_QA,role_BusinessAnalyst,availability_overlap,team_size,avg_skill_level,skill_diversity,roles_covered,max_skill_gap,workload_balance_score,success_score
5,4,5,4,4,3,4,4,2,2,1,1,1,0,1,0.7704161792489264,6,3.7,10,4,2.064,1.952,100.0
3,2,2,5,4,5,5,4,1,2,1,1,1,0,1,0.6135632065869723,4,3.3,9,4,0.608,0.044,92.02
1,5,5,2,2,2,2,4,2,2,1,0,0,1,1,0.9446168304829146,3,2.7,9,3,0.804,0.275,94.06
4,2,2,4,4,1,1,5,2,2,1,1,0,0,1,0.5762600327290277,3,2.7,8,3,0.415,1.461,77.22
2,4,5,2,1,4,2,5,1,2,0,0,1,1,1,0.5957380487801491,3,2.8,8,3,2.243,1.851,72.16
5,2,2,5,3,3,3,2,2,2,1,1,1,1,0,0.926293709636246,4,2.9,10,4,0.948,0.062,96.35
4,5,4,4,4,2,2,4,2,2,1,0,1,1,1,0.8572819703838612,6,3.3,10,4,2.024,0.231,100.0
3,5,4,5,2,1,4,5,2,2,1,1,1,1,1,0.683129468552391,5,3.3,9,5,2.27,1.965,89.8
1,4,4,2,2,3,5,2,2,2,1,1,1,1,1,0.5943218433755435,5,2.7,9,5,2.396,1.875,91.06
3,4,5,5,2,3,4,4,2,2,1,1,1,0,1,0.4219755899118523,6,3.4,10,4,2.481,1.101,94.13
3,2,2,5,3,3,3,2,2,2,0,1,1,0,1,0.4681811221923523,3,2.7,10,3,2.839,1.72,69.45
5,5,3,5,4,2,2,2,2,2,1,1,1,1,1,0.7259941160993103,5,3.2,10,5,1.949,1.598,92.97
5,5,5,4,3,2,4,5,2,2,1,1,1,1,1,0.6671937082465957,5,3.7,10,5,0.131,1.743,100.0
5,4,3,5,4,2,2,1,2,1,0,0,1,1,1,0.42462723585428336,3,2.9,8,3,2.18,1.872,74.12
5,3,4,4,4,2,3,3,2,1,1,1,1,1,1,0.5979564284183194,5,3.1,9,5,0.818,0.557,100.0
2,5,3,2,2,5,2,4,2,2,1,1,1,1,1,0.415713603276266,5,2.9,10,5,0.339,0.553,99.6
3,4,5,5,2,3,2,2,2,1,1,1,1,0,1,0.5648713208766809,4,2.9,9,4,1.441,1.526,93.51
5,3,3,5,4,2,5,5,2,2,1,0,1,1,0,0.9064540740594513,6,3.6,10,3,0.712,1.192,100.0
2,5,5,2,2,2,2,4,2,2,1,1,1,1,1,0.9273965399043453,5,2.8,10,5,1.153,0.8,100.0
3,3,4,4,4,4,4,1,2,2,0,1,1,1,1,0.3472874022128689,6,3.1,9,4,1.419,0.181,93.86
5,5,3,5,2,5,5,2,2,2,1,1,1,1,1,0.9633504776366724,5,3.6,10,5,0.717,0.814,100.0
4,2,2,4,2,3,5,4,2,2,1,1,0,1,1,0.41052609535562345,6,3.0,10,4,0.885,1.002,85.48
3,2,1,4,3,2,3,5,2,2,0,1,1,1,1,0.7470832669705174,4,2.7,9,4,2.48,1.194,62.37
3,2,2,4,2,4,3,4,2,2,1,1,1,1,1,0.9949810454349204,5,2.8,10,5,2.726,0.971,99.6
2,2,0,2,2,1,5,3,2,2,1,1,0,0,1,0.48536611612213365,3,2.1,8,3,1.226,1.985,64.95
4,4,3,4,2,3,1,3,2,2,1,1,1,1,0,0.6266978791345339,4,2.8,9,4,1.082,0.235,94.82
4,0,2,3,4,2,2,4,1,2,0,1,1,1,1,0.6321679163617828,4,2.4,8,4,1.301,1.691,67.75
5,2,2,5,3,5,2,2,2,2,1,1,0,1,1,0.5574271704163418,4,3.0,10,4,0.339,0.691,85.33
3,4,4,4,2,3,3,2,2,2,1,1,0,1,1,0.36987951727047186,4,2.9,10,4,1.203,1.968,89.08
2,4,3,1,2,2,2,3,1,1,1,0,0,1,1,0.5914836083889081,3,2.1,7,3,0.737,1.49,80.04
5,5,5,4,2,4,2,3,2,2,1,1,1,1,0,0.8445584191309712,6,3.4,10,4,2.476,0.419,100.0
1,1,2,2,2,2,2,3,2,2,1,0,1,0,1,0.5194567244692717,3,1.9,8,3,2.778,1.899,39.74
3,4,5,5,4,2,5,2,1,2,0,1,1,1,1,0.4778194083072323,4,3.3,9,4,1.714,0.343,93.18
3,3,3,4,2,2,4,2,2,2,1,1,1,1,1,0.5429135023579927,5,2.7,10,5,2.181,1.372,92.93
5,1,2,5,4,4,4,5,2,1,1,1,1,1,1,0.6869950788272801,5,3.3,8,5,0.634,1.483,96.75
2,2,2,2,2,4,4,3,2,2,1,1,0,1,1,0.7230129144851347,4,2.5,10,4,2.344,0.276,81.33
1,2,2,2,2,5,3,2,1,1,0,1,1,0,1,0.5435168399158726,3,2.1,7,3,2.827,0.501,66.32
5,5,3,4,2,4,2,3,2,2,0,1,1,1,1,0.7468869657221662,4,3.2,10,4,2.246,0.504,100.0
5,2,2,4,3,3,4,3,2,2,1,0,1,0,1,0.871102415181741,6,3.0,10,3,0.787,1.083,97.6
0,1,0,2,2,3,5,5,1,1,1,0,1,1,1,0.7725132026096669,4,2.0,5,4,0.421,0.115,69.6
4,2,2,5,4,4,2,5,2,2,1,1,1,0,1,0.6696256532586558,6,3.2,10,4,2.944,0.733,88.66
5,3,5,5,4,5,5,2,1,2,1,1,1,1,1,0.6504632324028019,5,3.7,9,5,0.601,0.915,100.0
2,2,2,2,2,1,5,4,2,1,1,1,1,1,0,0.5842206924413722,4,2.3,8,4,1.72,0.056,85.57
4,5,5,4,3,1,2,3,2,2,0,1,1,1,1,0.9016481485564811,4,3.1,9,4,2.396,0.003,86.69
4,3,4,5,4,4,0,2,2,2,1,1,1,0,0,0.761658680483933,3,3.0,9,3,1.531,0.767,84.48
1,2,2,2,2,5,3,5,2,2,1,1,1,1,1,0.7602425102074413,5,2.6,9,5,2.08,1.629,77.69
1,5,4,2,2,5,4,2,2,1,1,1,0,1,1,0.6736476235302292,6,2.8,8,4,1.346,0.772,100.0
4,3,4,4,2,4,4,3,2,2,1,0,1,1,1,0.8503053071482711,6,3.2,10,4,0.499,1.85,100.0
2,1,1,1,2,4,3,5,2,2,1,0,0,1,1,0.3074097422194468,3,2.3,7,3,2.693,1.088,54.04
2,2,2,1,2,2,5,5,2,2,1,1,1,1,1,0.3526397004549329,5,2.5,9,5,2.042,0.999,81.59
2,0,1,2,0,1,2,5,1,2,0,0,1,1,1,0.6336159656135407,3,1.6,5,3,2.234,0.269,49.82
3,4,3,5,4,1,3,2,2,2,1,0,1,0,1,0.9902359060360608,3,2.9,9,3,1.795,1.215,79.48
3,1,2,5,2,4,2,1,0,2,1,1,0,0,1,0.4267499596336547,3,2.2,7,3,0.957,1.45,66.41
5,2,2,4,4,4,3,4,2,2,1,1,1,1,1,0.8876296644485864,6,3.2,10,5,0.519,0.028,100.0
5,2,2,3,2,3,4,2,2,2,1,0,0,1,1,0.4627935634867428,6,2.7,10,3,2.925,1.542,73.4
2,3,3,1,0,2,4,5,2,1,1,1,0,0,1,0.41446158088838886,3,2.3,7,3,0.906,0.022,80.77
3,4,5,4,2,3,5,2,2,2,1,1,1,1,1,0.3754248252605746,5,3.2,10,5,2.86,1.812,99.38
2,4,5,1,2,5,2,3,2,2,1,1,1,0,1,0.5509480687415754,6,2.8,9,4,0.028,0.835,99.24
2,2,1,2,1,5,3,2,2,2,0,1,1,0,1,0.8470138156829705,3,2.2,8,3,0.748,1.642,79.08
5,3,3,3,3,2,5,3,2,1,1,1,1,1,1,0.43152386953765587,5,3.0,9,5,0.403,1.488,100.0
4,2,2,5,3,2,4,3,2,2,1,1,1,1,0,0.7922464395053979,4,2.9,10,4,0.396,0.053,88.98
5,5,4,5,4,2,4,4,2,2,1,1,1,1,1,0.8799308132647383,5,3.7,10,5,0.792,0.984,100.0
2,5,3,2,2,5,3,5,1,2,0,0,1,1,1,0.6974692018916814,6,3.0,9,3,1.94,0.881,94.92
3,5,4,5,3,4,2,2,2,2,1,1,0,1,1,0.8493185935366139,4,3.2,10,4,1.278,1.222,100.0
2,5,3,2,2,5,2,3,2,0,1,0,1,0,1,0.8530551593579869,3,2.6,9,3,0.593,0.744,94.26
3,5,3,4,4,2,3,5,2,1,0,1,0,1,1,0.7623489526478147,6,3.2,9,3,2.314,0.732,89.3
2,4,4,2,2,1,2,5,2,2,1,1,1,1,1,0.8428786313048797,5,2.6,9,5,1.556,1.914,83.16
5,4,3,4,3,4,1,3,2,2,1,1,1,1,1,0.594758911727846,5,3.1,9,5,0.784,0.174,100.0
5,2,2,3,2,2,3,5,2,2,1,0,1,1,1,0.9353649318256707,6,2.8,10,4,1.734,0.993,85.02
2,2,1,2,2,5,3,5,2,2,0,1,1,1,1,0.5349875242045847,4,2.6,9,4,0.804,1.396,78.19
1,2,2,2,0,5,3,1,2,1,1,1,0,0,1,0.5997484612394195,3,1.9,6,3,1.496,1.662,61.59
5,5,4,4,2,2,2,4,2,2,1,1,0,1,0,0.6929201383860311,3,3.2,10,3,2.942,1.101,93.92
2,5,4,2,2,5,2,1,2,2,1,1,0,1,1,0.8049799957127497,4,2.7,9,4,1.135,1.882,94.76
5,4,5,4,3,2,1,4,2,2,1,1,1,1,1,0.6254878034803244,5,3.2,9,5,1.866,0.519,100.0
2,4,5,0,2,5,4,4,1,2,1,1,1,1,1,0.37303120649672,5,2.9,8,5,0.549,0.86,100.0
3,2,0,5,4,4,2,1,2,2,0,0,1,1,1,0.8595009830631641,3,2.5,8,3,1.519,0.905,73.61
2,2,1,2,1,5,4,2,2,2,1,1,0,1,0,0.4830051278816039,3,2.3,8,3,2.987,1.127,60.79
5,5,5,5,3,2,5,5,2,2,0,0,1,1,1,0.3007267100204962,6,3.9,10,3,1.581,1.306,100.0
2,5,4,2,2,4,5,4,2,2,1,1,0,0,1,0.7824363752769187,6,3.2,10,3,1.609,0.264,100.0
5,2,1,3,4,4,5,5,2,2,1,1,1,1,1,0.7532423298365101,6,3.3,9,5,1.016,1.768,96.38
2,2,2,2,2,3,5,5,2,2,1,1,1,1,1,0.9205404272629052,5,2.7,10,5,1.346,0.74,95.87
4,2,2,3,2,5,4,5,2,2,0,0,1,0,1,0.6869249067428733,6,3.1,10,2,0.712,1.356,85.75
3,4,3,4,4,4,3,4,2,2,0,1,0,1,1,0.9032063569374573,6,3.3,10,3,2.719,0.958,86.64
2,5,5,2,2,5,4,2,2,2,1,1,1,1,1,0.3123017652164237,6,3.1,10,5,1.857,1.729,100.0
4,4,4,3,3,1,2,2,2,0,1,0,1,1,0,0.8683474020403457,3,2.5,8,3,0.386,1.232,88.1
2,4,4,2,2,4,2,3,2,1,1,1,1,1,1,0.47514567730598406,5,2.6,9,5,1.586,0.925,93.12
3,4,3,3,4,2,5,2,2,2,1,1,0,1,1,0.651189836214245,4,3.0,10,4,0.231,1.725,100.0
5,4,5,5,2,3,3,2,2,2,1,1,1,1,1,0.6582808606149653,5,3.3,10,5,2.579,0.299,100.0
5,1,2,4,3,2,2,5,2,2,1,1,1,1,0,0.4102593783788368,4,2.8,9,4,1.556,1.845,80.38
4,2,2,4,3,5,2,2,2,1,1,1,0,1,1,0.4177979011960963,4,2.7,9,4,0.876,0.674,79.25
5,2,2,4,4,5,3,3,2,1,1,1,1,1,1,0.41118904351055663,5,3.1,9,5,0.222,1.773,99.14
4,4,5,3,2,4,2,2,2,1,0,1,0,1,1,0.8247520350701458,3,2.9,9,3,0.064,0.446,100.0
4,2,1,5,4,2,2,5,2,2,0,0,1,1,1,0.736844170868469,3,2.9,9,3,0.372,1.398,72.34
2,2,2,2,2,5,4,2,2,2,1,1,1,1,1,0.698811677188972,5,2.5,10,5,1.214,0.11,86.89
4,5,5,4,3,2,4,2,2,2,1,1,1,1,1,0.7150955363295972,5,3.3,10,5,2.547,1.088,100.0
5,5,3,4,2,2,2,5,2,2,1,1,1,1,0,0.7695060312372082,4,3.2,10,4,1.25,0.548,100.0
4,4,5,3,4,1,2,4,2,2,1,1,1,1,0,0.979602393321342,6,3.1,9,4,2.184,0.153,95.6
5,2,1,4,4,2,4,4,2,2,1,0,1,0,1,0.8909152478181614,6,3.0,9,3,2.525,0.398,86.17
2,5,4,2,2,4,3,2,1,2,0,1,1,1,1,0.8032244596690195,4,2.7,9,4,1.732,1.967,86.2
4,5,3,5,4,2,5,2,2,2,1,0,1,1,1,0.9018978067915862,4,3.4,10,4,0.343,1.243,100.0
2,5,4,2,2,5,4,2,2,1,1,0,1,1,1,0.7894925083284037,4,2.9,9,4,1.916,0.016,100.0
2,5,5,2,2,4,5,3,2,2,1,1,1,1,1,0.849107104835229,5,3.2,10,5,1.964,1.391,100.0
4,2,2,4,3,1,3,5,1,2,1,1,1,1,0,0.5237189906017743,4,2.7,8,4,0.669,1.091,71.52
1,5,3,2,2,4,2,2,2,2,1,0,0,1,1,0.7141471982058347,3,2.5,9,3,2.493,1.185,80.99
4,5,4,5,2,5,2,4,2,2,1,0,0,1,1,0.5745777970781334,6,3.5,10,3,2.244,1.432,94.79
4,2,2,4,2,2,5,2,2,1,0,1,1,1,1,0.44542425919846657,4,2.6,9,4,1.467,0.356,84.42
5,2,2,5,4,4,4,5,1,2,1,1,1,0,1,0.47871593248323063,6,3.4,9,4,0.708,1.816,95.05
4,4,4,4,3,2,4,2,2,1,0,0,1,1,1,0.8390230179531131,3,3.0,9,3,0.46,0.637,100.0
4,2,2,4,2,4,5,4,1,2,1,1,1,1,1,0.4104155315556857,5,3.0,9,5,1.096,0.086,97.6
3,1,2,5,4,2,5,5,2,2,1,1,0,1,1,0.3500836340015027,6,3.1,9,4,1.028,0.783,82.97
4,2,2,4,3,5,2,5,2,2,1,1,1,1,1,0.38397717770755635,5,3.1,10,5,2.942,0.045,87.96
4,5,5,4,2,5,1,1,2,2,0,1,1,1,1,0.7433497885975839,6,3.1,8,4,1.235,0.655,100.0
4,1,2,4,4,5,2,5,2,2,1,1,1,1,1,0.6930010810608875,5,3.1,9,5,1.568,1.395,91.02
3,2,2,3,3,5,5,4,2,1,1,1,1,1,1,0.4413406708979122,5,3.0,9,5,1.642,1.542,89.14
3,2,2,3,3,4,5,2,1,2,1,1,1,1,1,0.5779338103941571,5,2.7,9,5,0.542,1.176,98.36
5,4,5,4,3,2,2,4,2,2,1,1,1,1,1,0.9278166267927441,5,3.3,10,5,2.775,0.427,100.0
5,3,3,3,4,2,3,5,2,2,1,1,1,1,1,0.6693768720787429,5,3.2,10,5,0.621,1.298,100.0
2,2,2,2,2,5,3,5,2,2,0,0,1,1,1,0.4950539731192703,6,2.7,10,3,2.509,1.382,65.03
5,3,5,4,3,3,2,1,2,2,0,1,1,1,1,0.7090719791828728,4,3.0,9,4,1.961,0.36,93.55
2,4,3,2,2,5,2,5,2,2,1,0,1,1,0,0.41425235970016705,6,2.9,10,3,0.541,1.118,87.29
5,4,4,4,4,2,4,2,2,2,1,1,1,1,1,0.7754983469683048,5,3.3,10,5,2.741,1.258,100.0
4,5,4,3,3,5,5,2,1,2,1,1,1,1,1,0.4368194171096196,5,3.4,9,5,0.379,1.405,100.0
4,2,2,5,4,5,2,5,2,2,1,1,1,1,1,0.3934488933862198,5,3.3,10,5,2.282,0.207,94.08
2,3,5,1,2,2,3,2,2,1,1,0,1,0,1,0.3657560202034158,3,2.3,8,3,1.967,0.466,71.39
2,5,5,2,1,4,2,0,2,2,0,0,1,1,1,0.8032227063139132,3,2.5,8,3,2.093,1.34,83.85
2,5,5,2,2,1,2,4,0,2,1,0,0,1,1,0.7644536650034806,3,2.5,8,3,1.308,1.298,79.52
3,5,5,5,3,2,5,5,2,2,1,1,1,1,1,0.7220091663306205,5,3.7,10,5,0.405,1.1,100.0
1,2,1,2,2,3,5,2,1,1,1,1,0,1,0,0.3018404820416623,3,2.0,6,3,0.581,1.263,70.37
2,2,2,2,2,5,4,4,2,1,1,1,1,0,1,0.9100862693990779,4,2.6,9,4,0.48,1.486,93.14
2,4,5,1,2,5,2,1,2,2,1,1,0,1,1,0.697232148919491,4,2.6,8,4,1.696,1.76,83.82
3,3,5,4,2,3,4,5,2,1,1,1,1,1,0,0.4033100760422298,6,3.2,9,4,2.668,1.53,80.85
5,5,5,5,2,4,2,4,2,2,0,1,1,1,0,0.5722048188031086,6,3.6,10,3,0.387,0.48,100.0
5,5,5,4,3,2,5,5,2,2,1,1,1,0,1,0.9210373826555358,6,3.8,10,4,1.064,1.679,100.0
2,5,4,2,2,2,2,2,2,2,1,0,0,1,1,0.3787707048047699,3,2.5,10,3,0.324,0.135,77.6
5,5,4,5,2,5,2,2,2,2,1,1,1,1,1,0.545004167981061,5,3.4,10,5,0.007,1.563,100.0
4,2,2,4,4,4,4,5,2,2,0,1,1,0,1,0.38881646615113263,6,3.3,10,3,1.246,0.195,84.52
5,2,2,5,4,5,4,4,2,2,0,1,1,1,1,0.5904284023514402,6,3.5,10,4,1.324,1.774,98.78
4,2,2,5,4,5,5,2,2,1,1,1,1,0,1,0.3001384654786971,6,3.2,9,4,1.601,0.519,96.41
2,4,5,2,2,2,5,2,2,2,1,0,1,1,1,0.8242501740630312,4,2.8,10,4,0.62,0.221,100.0
2,5,3,2,2,5,4,2,0,2,1,1,1,1,0,0.6034010762183273,4,2.7,9,4,1.281,1.563,98.07
2,4,5,2,2,1,4,5,2,2,1,1,1,1,1,0.9604158114189487,5,2.9,9,5,0.525,0.303,100.0
2,5,5,2,2,4,5,2,2,2,0,1,0,1,1,0.922519009215367,6,3.1,10,3,2.197,1.473,100.0
3,3,5,5,4,3,5,2,2,1,1,1,1,1,1,0.8413325741583702,5,3.3,9,5,0.318,0.13,100.0
5,2,1,4,4,2,4,3,2,2,0,1,0,1,1,0.38262305808568703,6,2.9,9,3,2.336,0.21,76.61
5,2,2,4,4,2,2,4,0,2,1,1,0,1,0,0.446082357013947,3,2.7,9,3,2.213,0.294,84.36
4,3,4,4,3,3,5,2,2,1,1,1,1,1,1,0.847385348444317,5,3.1,9,5,0.815,1.637,100.0
1,2,2,2,1,4,4,2,2,0,1,0,1,1,0,0.4420379404578199,3,2.0,7,3,2.729,1.144,67.5
5,2,2,4,2,2,2,3,2,2,1,1,1,0,0,0.8005936081709915,3,2.6,10,3,0.067,0.137,87.58
4,4,3,4,4,5,4,4,2,1,1,1,1,1,1,0.43969946333073906,6,3.5,9,5,1.965,0.023,100.0
2,4,5,2,2,1,2,5,1,2,0,1,1,1,0,0.6198949890147982,3,2.6,8,3,0.493,1.709,80.68
5,4,3,4,4,5,2,3,2,2,1,1,1,0,0,0.9968614634144528,6,3.4,10,3,1.47,0.662,100.0
5,3,3,5,4,1,3,2,2,2,1,1,1,1,0,0.8233688509478208,6,3.0,9,4,2.544,1.985,77.98
2,2,2,2,2,5,4,4,2,2,1,1,0,1,0,0.5640994882383068,6,2.7,10,3,1.009,0.703,90.19
2,3,4,2,2,5,5,4,2,1,1,1,1,1,1,0.325189997595349,5,3.0,9,5,0.925,1.218,100.0
1,2,2,2,2,5,5,2,2,2,1,1,0,1,0,0.3296703630008212,3,2.5,9,3,1.282,1.68,78.91
2,5,5,2,2,2,5,1,1,2,1,1,0,0,1,0.5216253006531553,3,2.7,8,3,1.524,1.724,86.27
4,3,3,4,4,5,1,5,2,2,1,1,1,1,0,0.7534066570205638,6,3.3,9,4,1.527,0.108,98.33
5,2,2,4,4,2,1,4,2,2,1,1,1,1,1,0.4448893702269815,5,2.8,9,5,0.174,1.583,78.88
5,2,2,5,4,2,3,5,2,2,1,1,1,1,1,0.9840178429351836,5,3.2,10,5,1.132,0.118,93.83
2,5,4,2,2,4,2,4,1,2,1,1,1,1,1,0.5655768262279944,5,2.8,9,5,1.673,0.741,94.72
2,5,5,2,2,2,4,5,2,2,1,1,1,1,1,0.8276504865558303,5,3.1,10,5,1.145,0.874,96.36
1,2,2,1,1,3,5,5,1,2,1,1,1,1,0,0.3217285058434029,4,2.3,6,4,1.142,1.587,71.0
1,1,2,2,1,2,4,5,1,2,0,0,1,1,0,0.47578438930888145,6,2.1,6,2,2.378,1.012,52.01
4,2,2,5,3,4,4,5,2,2,1,0,1,1,1,0.6998788166292819,6,3.3,10,4,0.957,1.842,93.84
4,5,5,4,4,2,5,1,2,2,1,1,1,1,0,0.9143709246281821,4,3.4,9,4,1.986,1.47,100.0
4,5,5,5,3,2,5,2,1,2,1,1,0,1,1,0.8172178310040161,4,3.4,9,4,0.706,1.417,100.0
2,2,2,1,2,1,5,5,2,2,1,0,1,0,1,0.8018542636035255,3,2.4,8,3,2.064,0.348,74.19
4,2,1,5,3,2,5,2,2,2,1,1,1,1,1,0.7311604096789022,5,2.8,9,5,2.16,1.242,90.64
5,3,4,4,2,1,1,2,2,2,0,1,1,0,1,0.5704181808050526,3,2.6,8,3,1.026,0.777,79.01
4,2,1,5,3,1,2,5,2,2,1,0,1,1,1,0.73101296995671,4,2.7,8,4,2.716,0.982,64.76
3,2,2,5,3,3,4,4,2,2,1,1,1,1,1,0.583794041486939,6,3.0,10,5,2.826,0.43,76.64
2,5,5,2,2,5,5,3,1,2,1,1,1,1,1,0.7271677773775553,5,3.2,9,5,1.971,0.505,100.0
2,2,2,2,2,3,5,4,2,2,1,1,1,1,1,0.937116455248356,5,2.6,10,5,0.309,1.856,86.54
1,4,5,2,1,3,2,5,2,2,0,1,0,1,1,0.3453794056099935,6,2.7,8,3,1.662,1.005,73.83
2,5,4,2,2,5,3,5,2,2,1,1,1,1,0,0.751126345856624,6,3.2,10,4,1.353,1.853,100.0
3,2,2,4,3,4,5,5,2,2,1,1,1,1,1,0.7987566494408522,5,3.2,10,5,1.403,0.425,100.0
5,4,5,3,2,1,2,4,2,2,1,1,1,1,1,0.45186781047607105,5,3.0,9,5,1.38,0.39,100.0
4,2,2,5,4,4,5,4,2,2,1,0,1,1,1,0.7119942015173442,4,3.4,10,4,0.05,0.398,100.0
2,3,5,2,2,5,2,5,2,2,0,1,1,1,1,0.5507313009181378,6,3.0,10,4,1.395,1.915,87.62
3,5,5,3,4,3,2,4,2,2,1,1,1,1,1,0.9221147019702935,5,3.3,10,5,1.495,1.116,100.0
4,5,5,5,3,2,5,1,1,2,1,0,1,1,1,0.9262071639764244,6,3.3,8,4,1.191,1.186,100.0
1,0,2,2,2,3,1,4,2,1,1,0,1,1,0,0.6323251522066733,3,1.8,6,3,0.713,1.376,57.68
0,4,3,2,2,3,2,4,1,1,1,0,1,1,0,0.8471948090080681,3,2.2,7,3,2.069,1.124,72.83
2,2,2,2,2,3,4,5,2,2,0,1,1,1,1,0.8432566401258665,4,2.6,10,4,0.746,1.635,77.43
2,2,1,2,1,5,4,5,2,2,1,1,1,1,1,0.4644723743913153,6,2.6,8,5,0.4,0.11,87.12
2,5,5,2,2,5,2,2,2,2,1,0,1,1,1,0.542780720038454,4,2.9,10,4,2.311,1.75,95.25
2,4,5,2,2,4,2,3,2,2,0,1,1,1,0,0.32209588540929185,3,2.8,10,3,1.042,1.71,83.48
5,2,2,4,3,5,5,5,2,2,1,1,1,1,1,0.4235247020291844,6,3.5,10,5,1.509,1.292,96.58
2,3,3,2,2,5,1,4,2,2,1,1,1,1,1,0.8206536854025068,5,2.6,9,5,0.073,0.855,97.39
1,4,5,2,2,2,4,5,2,2,1,1,1,0,1,0.6932344149637572,4,2.9,9,4,1.693,0.112,90.41
2,2,2,1,2,4,3,3,2,2,1,1,1,1,1,0.9253081182685237,5,2.3,9,5,0.806,0.085,89.89
2,5,4,2,2,2,3,2,2,2,1,1,1,0,0,0.559534999233484,3,2.6,10,3,1.874,1.561,89.57
2,4,3,1,2,5,1,5,2,2,0,1,1,1,0,0.5193258755102599,3,2.7,8,3,2.235,0.263,74.07
3,2,2,4,4,4,2,2,2,2,1,1,0,1,1,0.514056585727946,4,2.7,10,4,2.824,0.973,76.43
5,2,2,3,3,3,2,4,2,2,1,0,1,1,1,0.6583379641233562,4,2.8,10,4,2.701,0.377,94.92
5,3,4,3,3,5,2,3,2,2,1,1,1,1,1,0.44642957680402534,6,3.2,10,5,2.937,1.093,95.44
4,2,2,5,4,2,5,3,2,2,1,1,1,1,1,0.492933633615293,5,3.1,10,5,2.696,1.661,80.0
2,3,3,2,1,2,3,5,1,2,1,1,1,1,1,0.44004414959721483,5,2.4,8,5,1.629,0.03,82.89
5,5,5,4,2,5,3,4,2,2,1,1,1,1,1,0.6927287732559562,5,3.7,10,5,2.328,0.108,100.0
3,3,4,5,3,3,5,5,2,2,1,1,1,1,1,0.9698363373321353,5,3.5,10,5,1.25,1.992,100.0
4,3,3,3,2,4,2,4,1,2,1,1,1,1,1,0.6560376218358106,5,2.8,9,5,0.683,1.082,93.06
1,4,4,2,2,5,2,4,2,2,1,1,1,0,1,0.8262967098635401,4,2.8,9,4,1.525,0.617,95.27
3,1,2,3,2,1,5,3,2,2,1,1,1,0,0,0.7665906648120869,3,2.4,8,3,0.835,0.432,75.37
5,4,5,5,4,4,2,2,2,2,1,1,1,0,1,0.6506665171696848,6,3.5,10,4,2.354,1.209,100.0
2,5,3,2,2,4,4,2,2,1,1,1,0,1,0,0.34402271862350625,3,2.7,9,3,1.9,1.071,82.53
5,2,2,4,3,2,2,4,2,2,0,0,1,1,1,0.7336545884940077,3,2.8,10,3,0.349,1.821,84.65
5,4,5,5,4,4,1,2,2,2,1,0,1,1,1,0.4258961574057224,6,3.4,9,4,1.597,1.389,94.98
1,5,3,2,2,5,5,3,2,2,1,1,0,1,1,0.7065850796828541,4,3.0,9,4,1.185,0.039,100.0
5,4,5,5,4,4,3,2,2,2,0,1,1,1,0,0.7309074043115531,6,3.6,10,3,1.302,1.756,95.24
5,1,2,4,3,3,2,4,2,2,0,1,1,1,1,0.7914894155888501,4,2.8,9,4,2.962,0.747,77.86
5,4,5,5,3,2,2,2,1,2,1,1,0,0,1,0.7300899556661323,3,3.1,9,3,2.795,0.178,97.49
5,2,2,5,4,2,3,4,2,2,1,1,1,1,0,0.9688933233281969,6,3.1,10,4,0.943,0.004,97.17
5,2,2,5,4,5,1,2,1,1,1,1,1,0,0,0.827064289009954,3,2.8,7,3,1.704,1.246,88.98
1,3,3,1,2,4,4,1,1,2,1,1,1,0,0,0.4077836753342141,3,2.2,6,3,2.171,1.158,72.93
5,4,3,5,2,2,5,5,2,2,1,1,1,1,1,0.9423453780591533,6,3.5,10,5,2.493,0.22,100.0
1,5,5,1,2,0,4,2,1,2,0,0,1,1,1,0.9270074975717117,3,2.3,6,3,2.22,1.534,77.12
3,5,3,4,2,1,4,4,2,2,1,1,1,1,1,0.3566544327603952,5,3.0,9,5,1.212,1.944,81.98
5,5,5,4,4,1,3,2,2,2,1,1,1,1,0,0.9047784771364715,4,3.3,9,4,1.014,0.399,100.0
4,3,3,4,3,2,2,4,2,2,1,1,0,0,1,0.9209656767218424,3,2.9,10,3,2.724,1.92,82.19
2,5,5,2,2,2,3,1,1,1,1,0,1,1,0,0.3329810115535006,3,2.4,7,3,0.085,0.276,92.59
2,3,4,2,2,4,4,2,2,2,1,1,1,1,1,0.6602149562332266,5,2.7,10,5,2.471,0.867,97.76
3,2,2,3,4,2,2,5,2,2,0,1,1,1,0,0.5722768288307829,3,2.7,10,3,2.444,0.346,62.13
4,2,1,3,4,2,4,4,1,2,1,1,1,1,1,0.33024537629150275,5,2.7,8,5,1.502,0.68,84.98
2,4,4,2,2,5,2,5,1,2,1,1,1,1,1,0.7449788495208226,5,2.9,9,5,0.436,0.191,100.0
4,3,4,5,2,2,2,3,2,2,1,1,1,1,1,0.5844330071247611,5,2.9,10,5,0.832,0.738,95.29
4,4,5,5,3,2,2,4,2,2,0,1,1,1,1,0.7580954997204629,6,3.3,10,4,1.438,1.362,91.51
4,5,5,3,4,4,3,2,2,2,1,1,1,1,1,0.8553114245121805,5,3.4,10,5,2.681,1.771,100.0
